wort;sent;pol;type;multiplier;combined
Desaster;NEG;1;nomen;-1;-1
Schlappe;NEG;0.7;nomen;-1;-0.7
Rückgang;NEG;0.7;nomen;-1;-0.7
nichts;SHI;0;neg;0;0
beeindrucken;POS;0.7;verben;1;0.7
beeindruckt;POS;0.7;adj;1;0.7
beindrucken;POS;0.7;verben;1;0.7
Selbstzweifel;NEG;1;nomen;-1;-1
selbstbewusst;POS;1;adj;1;1
selbstbewußt;POS;1;adj;1;1
schwer;NEG;0.5;adj;-1;-0.5
steigend;POS;0.7;adj;1;0.7
Rückschlag;NEG;1;nomen;-1;-1
befürchten;NEG;1;verben;-1;-1
einzigartig;POS;1;adj;1;1
ausbauen;POS;0.5;verben;1;0.5
abschwächen;INT;0.5;verben;0;0
trotzen;SHI;1;verben;0;0
ohne;SHI;0;neg;0;0
absacken;NEG;0.7;verben;-1;-0.7
sacken;NEG;0.7;verben;-1;-0.7
Erfolgssträhne;POS;0.7;nomen;1;0.7
Tod;NEG;1;nomen;-1;-1
fast;INT;0.5;adj;0;0
retten;POS;0.7;verben;1;0.7
überraschen;POS;0.7;verben;1;0.7
profitieren;POS;1;verben;1;1
weniger;INT;0.5;adj;0;0
wenig;INT;0.5;adj;0;0
steigern;INT;2;verben;0;0
deutlich;POS;1;adj;1;1
Gewinn;POS;1;nomen;1;1
sehr;INT;3;adj;0;0
vorheucheln;NEG;1;verben;-1;-1
Verwöhnung;POS;0.7;nomen;1;0.7
Mordanschlag;NEG;1;nomen;-1;-1
Allergie;NEG;1;nomen;-1;-1
Krankengymnastik;POS;0.7;nomen;1;0.7
Racheakt;NEG;1;nomen;-1;-1
Fremdenfeindlichkeit;NEG;1;nomen;-1;-1
Hässlichkeit;NEG;1;nomen;-1;-1
Beule;NEG;0.7;nomen;-1;-0.7
Wettrüsten;NEG;1;nomen;-1;-1
Männerhaß;NEG;1;nomen;-1;-1
gestehen;POS;0.7;verben;1;0.7
Kriegswirren;NEG;1;nomen;-1;-1
Flugerlaubnis;POS;0.5;nomen;1;0.5
Leidensdruck;NEG;1;nomen;-1;-1
Wiederaufbau;POS;0.7;nomen;1;0.7
äusserst;INT;2;adj;0;0
äußerst;INT;2;adj;0;0
aufwühlen;NEG;1;verben;-1;-1
Häuserkampf;NEG;1;nomen;-1;-1
Energie;POS;1;nomen;1;1
Genesung;POS;1;nomen;1;1
unterordnen;NEG;0.7;verben;-1;-0.7
rebellieren;NEG;1;verben;-1;-1
Weitsichtigkeit;POS;0.7;nomen;1;0.7
Unterjochung;NEG;1;nomen;-1;-1
dauern;NEG;0.7;verben;-1;-0.7
rumzetern;NEG;1;verben;-1;-1
Lobeshymne;POS;1;nomen;1;1
Bedenken;NEG;0.5;nomen;-1;-0.5
Fragilität;NEG;0.7;nomen;-1;-0.7
Ungebundenheit;POS;0.7;nomen;1;0.7
Empfehlen;POS;0.5;nomen;1;0.5
beseligen;POS;1;verben;1;1
zersetzen;NEG;0.7;verben;-1;-0.7
Reform;POS;0.7;nomen;1;0.7
Nacht-und-Nebel-Aktion;NEG;0.5;nomen;-1;-0.5
honorieren;POS;0.7;verben;1;0.7
Erstattungsanspruch;POS;0.5;nomen;1;0.5
Umweltzerstörung;NEG;1;nomen;-1;-1
Rückgangsquote;NEG;0.5;nomen;-1;-0.5
Gefälle;NEG;0.5;nomen;-1;-0.5
verklagen;NEG;1;verben;-1;-1
Lustlosigkeit;NEG;1;nomen;-1;-1
Schönheitsfehler;NEG;0.5;nomen;-1;-0.5
Blessur;NEG;0.7;nomen;-1;-0.7
rauslassen;POS;0.5;verben;1;0.5
Tamtam;POS;0.5;nomen;1;0.5
belobigen;POS;0.7;verben;1;0.7
aufzwingen;NEG;1;verben;-1;-1
Festigen;POS;0.5;nomen;1;0.5
abtöten;NEG;0.7;verben;-1;-0.7
Hornissenstich;NEG;1;nomen;-1;-1
zurückstecken;POS;0.5;verben;1;0.5
Unberechenbarkeit;NEG;0.7;nomen;-1;-0.7
auspowern;POS;0.7;verben;1;0.7
Mordfall;NEG;1;nomen;-1;-1
mogeln;NEG;0.7;verben;-1;-0.7
Kur;POS;0.7;nomen;1;0.7
faseln;NEG;0.5;verben;-1;-0.5
gewährleisten;POS;0.7;verben;1;0.7
Elan;POS;1;nomen;1;1
Abneigung;NEG;0.7;nomen;-1;-0.7
Stunk;NEG;1;nomen;-1;-1
Abrüstung;POS;1;nomen;1;1
reihern;NEG;1;verben;-1;-1
Beinschmerz;NEG;1;nomen;-1;-1
toben;NEG;1;verben;-1;-1
bescheinigen;POS;0.5;verben;1;0.5
Haltbarmachung;POS;0.7;nomen;1;0.7
Hochgenuß;POS;1;nomen;1;1
ironisieren;NEG;0.7;verben;-1;-0.7
Gemeinschaftssinn;POS;0.7;nomen;1;0.7
mehrheitlich;INT;0.5;adj;0;0
grölen;NEG;1;verben;-1;-1
versagen;NEG;1;verben;-1;-1
anblasen;NEG;1;verben;-1;-1
Gebrechen;NEG;1;nomen;-1;-1
Agitation;NEG;0.7;nomen;-1;-0.7
Katarrh;NEG;1;nomen;-1;-1
Kokainmißbrauch;NEG;1;nomen;-1;-1
inspirieren;POS;1;verben;1;1
kuschen;NEG;1;verben;-1;-1
Heilung;POS;1;nomen;1;1
Generalität;POS;0.7;nomen;1;0.7
Scheu;NEG;1;nomen;-1;-1
Lampenfieber;NEG;0.5;nomen;-1;-0.5
Beute;NEG;1;nomen;-1;-1
Redundanz;NEG;0.5;nomen;-1;-0.5
Verdammung;NEG;1;nomen;-1;-1
Heraufsetzen;POS;0.5;nomen;1;0.5
herabstufen;NEG;0.5;verben;-1;-0.5
Abbitte;POS;0.7;nomen;1;0.7
Willkür;NEG;1;nomen;-1;-1
nicht;SHI;0;neg;0;0
Heilkraft;POS;1;nomen;1;1
Bußgeld;NEG;1;nomen;-1;-1
Abgebrühtheit;NEG;1;nomen;-1;-1
Vertrauensbruch;NEG;1;nomen;-1;-1
Aktenvernichtung;NEG;1;nomen;-1;-1
Ermutigung;POS;1;nomen;1;1
ausbrennen;NEG;0.7;verben;-1;-0.7
Androhung;NEG;1;nomen;-1;-1
Krankheit;NEG;1;nomen;-1;-1
Breitseite;NEG;1;nomen;-1;-1
Wahlfreiheit;POS;1;nomen;1;1
Gegengewalt;NEG;1;nomen;-1;-1
Ausfuhrverbot;NEG;1;nomen;-1;-1
auseinanderdriften;NEG;0.7;verben;-1;-0.7
Produktionssteigerung;POS;0.7;nomen;1;0.7
beglückwünschen;POS;0.7;verben;1;0.7
lähmen;NEG;1;verben;-1;-1
Gutherzigkeit;POS;1;nomen;1;1
avancieren;POS;1;verben;1;1
Tristesse;NEG;1;nomen;-1;-1
einlenken;POS;0.7;verben;1;0.7
drängen;NEG;0.7;verben;-1;-0.7
staunen;POS;0.7;verben;1;0.7
Qual;NEG;1;nomen;-1;-1
Knochenschwund;NEG;1;nomen;-1;-1
Attraktivität;POS;1;nomen;1;1
überarbeiten;NEG;0.7;verben;-1;-0.7
einbläuen;NEG;0.5;verben;-1;-0.5
Reha-Kur;POS;0.7;nomen;1;0.7
bezichtigen;NEG;1;verben;-1;-1
schocken;NEG;1;verben;-1;-1
Mißhandlung;NEG;1;nomen;-1;-1
gelobigen;POS;0.7;verben;1;0.7
attackieren;NEG;1;verben;-1;-1
ekeln;NEG;1;verben;-1;-1
Selbstentblößung;NEG;1;nomen;-1;-1
Lohnerhöhung;POS;0.7;nomen;1;0.7
Erschöpfung;NEG;1;nomen;-1;-1
verkneifen;NEG;0.5;verben;-1;-0.5
Krisenstimmung;NEG;1;nomen;-1;-1
Bauchschuss;NEG;1;nomen;-1;-1
Wochenendarrest;NEG;1;nomen;-1;-1
Drecksarbeit;NEG;1;nomen;-1;-1
Abrüstungsverhandlung;POS;0.7;nomen;1;0.7
Verärgerung;NEG;0.7;nomen;-1;-0.7
Offerte;POS;0.7;nomen;1;0.7
Freiheit;POS;1;nomen;1;1
überbelasten;NEG;0.7;verben;-1;-0.7
einnehmen;POS;0.7;verben;1;0.7
tyrannisieren;NEG;1;verben;-1;-1
Eruption;NEG;1;nomen;-1;-1
Kernexplosion;NEG;1;nomen;-1;-1
Ehrfurcht;POS;1;nomen;1;1
Blutung;NEG;1;nomen;-1;-1
zufriedenstellen;POS;0.5;verben;1;0.5
Kompliment;POS;1;nomen;1;1
Beschäftigungstherapie;NEG;0.5;nomen;-1;-0.5
Wechselfieber;NEG;1;nomen;-1;-1
Sisyphusarbeit;NEG;0.5;nomen;-1;-0.5
Hexenschuss;NEG;1;nomen;-1;-1
begünstigen;POS;0.7;verben;1;0.7
Artrose;NEG;1;nomen;-1;-1
Unmöglichkeit;NEG;1;nomen;-1;-1
Beugehaft;NEG;1;nomen;-1;-1
ausgrenzen;NEG;1;verben;-1;-1
verballhornen;NEG;1;verben;-1;-1
Treulosigkeit;NEG;1;nomen;-1;-1
vertrauenerweckend;POS;1;adj;1;1
Gefühllosigkeit;NEG;1;nomen;-1;-1
Authentizität;POS;0.7;nomen;1;0.7
andeuten;NEG;0.5;verben;-1;-0.5
verteufeln;NEG;1;verben;-1;-1
Studienreise;POS;0.5;nomen;1;0.5
Erfindungsreichtum;POS;0.7;nomen;1;0.7
Bombardement;NEG;1;nomen;-1;-1
Bammel;NEG;0.7;nomen;-1;-0.7
Vorfreude;POS;1;nomen;1;1
Ernst;NEG;0.7;nomen;-1;-0.7
Burnout-Syndrom;NEG;1;nomen;-1;-1
Straßenschlacht;NEG;1;nomen;-1;-1
zusagen;POS;0.7;verben;1;0.7
Bestform;POS;1;nomen;1;1
sorgen;NEG;1;verben;-1;-1
Schnittstellenoptimierung;POS;0.7;nomen;1;0.7
Verjüngungskur;POS;0.7;nomen;1;0.7
Reformierung;POS;0.7;nomen;1;0.7
Konzertgenuss;POS;0.7;nomen;1;0.7
Turbulenz;NEG;0.7;nomen;-1;-0.7
Langweiligkeit;NEG;0.7;nomen;-1;-0.7
Schelte;NEG;1;nomen;-1;-1
reklamieren;NEG;0.7;verben;-1;-0.7
Leiden;NEG;1;nomen;-1;-1
Glaube;POS;1;nomen;1;1
Friede;POS;1;nomen;1;1
Arbeitsplatzabbau;NEG;1;nomen;-1;-1
bezähmen;POS;0.7;verben;1;0.7
befremden;NEG;0.7;verben;-1;-0.7
Unbeweglichkeit;NEG;1;nomen;-1;-1
Falschheit;NEG;1;nomen;-1;-1
abstoßen;NEG;0.7;verben;-1;-0.7
Gemeinheit;NEG;1;nomen;-1;-1
verheißen;POS;0.7;verben;1;0.7
überschnappen;NEG;1;verben;-1;-1
Eifersuchtsszene;NEG;1;nomen;-1;-1
vergessen;NEG;0.7;verben;-1;-0.7
Trauer;NEG;1;nomen;-1;-1
Lippenbekenntnis;NEG;0.7;nomen;-1;-0.7
Dauerkonflikt;NEG;1;nomen;-1;-1
vergewaltigen;NEG;1;verben;-1;-1
Zurschaustellung;NEG;1;nomen;-1;-1
Heroismus;POS;0.7;nomen;1;0.7
Genauigkeit;POS;0.7;nomen;1;0.7
ergötzen;POS;0.7;verben;1;0.7
Lieblingsbeschäftigung;POS;1;nomen;1;1
Ernährungskrankheit;NEG;1;nomen;-1;-1
Novelle;POS;0.7;nomen;1;0.7
Terroranschlag;NEG;1;nomen;-1;-1
Heimatliebe;POS;0.7;nomen;1;0.7
Ehrenrettung;POS;1;nomen;1;1
mißverstehen;NEG;0.7;verben;-1;-0.7
beeinträchtigt;NEG;1;adj;-1;-1
beeinträchtigen;NEG;1;verben;-1;-1
Verschwiegenheit;POS;0.5;nomen;1;0.5
Leukämie;NEG;1;nomen;-1;-1
Ausschmückung;POS;0.5;nomen;1;0.5
Hinrichtung;NEG;1;nomen;-1;-1
Berufskrankheit;NEG;0.7;nomen;-1;-0.7
Black-out;NEG;1;nomen;-1;-1
vergraulen;NEG;0.7;verben;-1;-0.7
Überforderung;NEG;0.7;nomen;-1;-0.7
nutzen;POS;0.5;verben;1;0.5
höhnen;NEG;1;verben;-1;-1
wettmachen;POS;0.7;verben;1;0.7
Industriespionage;NEG;1;nomen;-1;-1
kujonieren;NEG;1;verben;-1;-1
Drogenentzug;POS;0.7;nomen;1;0.7
abwiegeln;NEG;0.5;verben;-1;-0.5
fremdgehen;NEG;1;verben;-1;-1
anpreisen;POS;0.5;verben;1;0.5
ackern;NEG;0.5;verben;-1;-0.5
einbilden;NEG;0.5;verben;-1;-0.5
Untat;NEG;1;nomen;-1;-1
grausen;NEG;1;verben;-1;-1
Wirtschaftswachstum;POS;0.7;nomen;1;0.7
Qualitätsverbesserung;POS;0.5;nomen;1;0.5
nölen;NEG;1;verben;-1;-1
albern;NEG;0.5;verben;-1;-0.5
Widerstandsfähigkeit;POS;0.7;nomen;1;0.7
anstrengen;NEG;0.5;verben;-1;-0.5
zufriedengeben;POS;0.5;verben;1;0.5
Ausweglosigkeit;NEG;1;nomen;-1;-1
enorm;INT;2;adj;0;0
Atomhandel;NEG;1;nomen;-1;-1
Beflissenheit;POS;0.7;nomen;1;0.7
reinhauen;NEG;0.7;verben;-1;-0.7
Friedenssicherung;POS;1;nomen;1;1
Wahrung;POS;0.7;nomen;1;0.7
Müdigkeit;NEG;0.5;nomen;-1;-0.5
Theatralik;NEG;0.7;nomen;-1;-0.7
Argwohn;NEG;1;nomen;-1;-1
Völkerfreundschaft;POS;0.7;nomen;1;0.7
grübeln;NEG;0.7;verben;-1;-0.7
Gradlinigkeit;POS;1;nomen;1;1
Unvorhersehbarkeit;NEG;0.5;nomen;-1;-0.5
Thrombose;NEG;1;nomen;-1;-1
Morphiumsucht;NEG;1;nomen;-1;-1
Konzession;POS;0.7;nomen;1;0.7
Destabilisieren;NEG;1;nomen;-1;-1
Einkommen;POS;0.7;nomen;1;0.7
vorenthalten;NEG;0.5;verben;-1;-0.5
Nepp;NEG;1;nomen;-1;-1
Pornografie;NEG;1;nomen;-1;-1
Partisanenkrieg;NEG;1;nomen;-1;-1
Stabilisierung;POS;1;nomen;1;1
Tabellenabstieg;NEG;0.7;nomen;-1;-0.7
Irrfahrt;NEG;0.7;nomen;-1;-0.7
schabernacken;NEG;0.5;verben;-1;-0.5
Schulreform;POS;0.7;nomen;1;0.7
deprimieren;NEG;1;verben;-1;-1
verarschen;NEG;1;verben;-1;-1
Allwissenheit;POS;1;nomen;1;1
befördern;POS;0.7;verben;1;0.7
Sorge;NEG;1;nomen;-1;-1
Heiratsantrag;POS;0.7;nomen;1;0.7
wegekeln;NEG;1;verben;-1;-1
Leistungssteigerung;POS;1;nomen;1;1
Inbrunst;POS;1;nomen;1;1
Familienkrach;NEG;1;nomen;-1;-1
Kultivierung;POS;0.7;nomen;1;0.7
Reformprogramm;POS;0.7;nomen;1;0.7
Ergotherapie;POS;0.7;nomen;1;0.7
Heroinmissbrauch;NEG;1;nomen;-1;-1
entsagen;POS;0.7;verben;1;0.7
Zurechtweisung;NEG;1;nomen;-1;-1
anspornen;POS;1;verben;1;1
verwerfen;NEG;0.7;verben;-1;-0.7
Verstimmung;NEG;0.5;nomen;-1;-0.5
Wehwehchen;NEG;0.5;nomen;-1;-0.5
ausmachen;POS;0.7;verben;1;0.7
Fernbleiben;NEG;0.7;nomen;-1;-0.7
Urvertrauen;POS;1;nomen;1;1
Unabhängigkeitskrieg;NEG;1;nomen;-1;-1
heimsuchen;NEG;0.7;verben;-1;-0.7
trainieren;POS;0.7;verben;1;0.7
Rachgier;NEG;1;nomen;-1;-1
Wahrheit;POS;1;nomen;1;1
vergießen;NEG;1;verben;-1;-1
Vollrausch;NEG;1;nomen;-1;-1
schmollen;NEG;0.5;verben;-1;-0.5
Bockigkeit;NEG;1;nomen;-1;-1
zicken;NEG;1;verben;-1;-1
Verdammnis;NEG;1;nomen;-1;-1
verstören;NEG;1;verben;-1;-1
Ungerechtigkeit;NEG;1;nomen;-1;-1
fremdeln;NEG;0.7;verben;-1;-0.7
vollspucken;NEG;1;verben;-1;-1
Hokuspokus;NEG;0.5;nomen;-1;-0.5
erliegen;NEG;1;verben;-1;-1
anrühren;POS;0.5;verben;1;0.5
verblüffen;POS;1;verben;1;1
Giftgasattentat;NEG;1;nomen;-1;-1
Schludrigkeit;NEG;0.7;nomen;-1;-0.7
Aktualisierung;POS;0.5;nomen;1;0.5
vertauschen;NEG;0.5;verben;-1;-0.5
irresein;NEG;1;verben;-1;-1
Gerechtigkeitsgefühl;POS;1;nomen;1;1
verarmen;NEG;1;verben;-1;-1
Sicherung;POS;0.7;nomen;1;0.7
trauen;POS;0.7;verben;1;0.7
suggerieren;NEG;0.7;verben;-1;-0.7
Entzugserscheinungen;NEG;1;nomen;-1;-1
veröden;NEG;1;verben;-1;-1
Dekoration;POS;0.7;nomen;1;0.7
Technologiefreundlichkeit;POS;1;nomen;1;1
Edelmut;POS;1;nomen;1;1
versterben;NEG;1;verben;-1;-1
Unverfrorenheit;NEG;1;nomen;-1;-1
Schlechtigkeit;NEG;1;nomen;-1;-1
Eiweißallergie;NEG;1;nomen;-1;-1
Ausstrahlung;POS;0.7;nomen;1;0.7
Heiterkeit;POS;1;nomen;1;1
erholen;POS;0.7;verben;1;0.7
Ungewißheit;NEG;1;nomen;-1;-1
Vorsorgekur;POS;0.7;nomen;1;0.7
Zweifelhaftigkeit;NEG;0.7;nomen;-1;-0.7
Obszönität;NEG;1;nomen;-1;-1
Lebhaftigkeit;POS;0.7;nomen;1;0.7
fernhalten;NEG;1;verben;-1;-1
bewahrheiten;POS;0.7;verben;1;0.7
Verbitterung;NEG;1;nomen;-1;-1
vorschützen;NEG;0.5;verben;-1;-0.5
Bombendrohung;NEG;1;nomen;-1;-1
Arbeitssicherheit;POS;0.7;nomen;1;0.7
Alkoholgenuss;NEG;0.7;nomen;-1;-0.7
Rechtssicherheit;POS;1;nomen;1;1
Rangelei;NEG;0.7;nomen;-1;-0.7
Weinerlichkeit;NEG;0.7;nomen;-1;-0.7
Stress;NEG;0.7;nomen;-1;-0.7
Streß;NEG;0.7;nomen;-1;-0.7
Streit;NEG;1;nomen;-1;-1
heucheln;NEG;1;verben;-1;-1
beschwören;POS;0.7;verben;1;0.7
schleifen;NEG;0.7;verben;-1;-0.7
Krampfanfall;NEG;1;nomen;-1;-1
verurteilen;NEG;1;verben;-1;-1
durchziehen;POS;0.7;verben;1;0.7
anfechten;NEG;1;verben;-1;-1
Psychose;NEG;1;nomen;-1;-1
lachen;POS;1;verben;1;1
gewährleisten;POS;0.5;verben;1;0.5
Instandsetzung;POS;0.5;nomen;1;0.5
verpfeifen;NEG;1;verben;-1;-1
beklatschen;POS;1;verben;1;1
Brandschatzung;NEG;1;nomen;-1;-1
Funktionstüchtigkeit;POS;0.7;nomen;1;0.7
Verbrennung;NEG;0.7;nomen;-1;-0.7
Zuspitzung;NEG;0.5;nomen;-1;-0.5
schrecken;NEG;0.7;verben;-1;-0.7
flehen;NEG;0.7;verben;-1;-0.7
Destruktion;NEG;1;nomen;-1;-1
Vorliebe;POS;1;nomen;1;1
entsetzen;NEG;1;verben;-1;-1
Gestaltungskraft;POS;0.7;nomen;1;0.7
Kopfweh;NEG;1;nomen;-1;-1
Vortritt;POS;0.5;nomen;1;0.5
Apathie;NEG;1;nomen;-1;-1
Koffeinmissbrauch;NEG;1;nomen;-1;-1
Überaktivität;NEG;0.7;nomen;-1;-0.7
Kopfschuss;NEG;1;nomen;-1;-1
Neutralität;POS;1;nomen;1;1
Geborgenheit;POS;1;nomen;1;1
Feingefühl;POS;1;nomen;1;1
Haftstrafe;NEG;1;nomen;-1;-1
resignieren;NEG;1;verben;-1;-1
pochen;NEG;0.7;verben;-1;-0.7
aktivieren;POS;0.5;verben;1;0.5
Geselligkeit;POS;0.7;nomen;1;0.7
abwerben;NEG;0.7;verben;-1;-0.7
Nikotinsucht;NEG;1;nomen;-1;-1
Hauptsorge;NEG;1;nomen;-1;-1
Ermüdung;NEG;1;nomen;-1;-1
Untugend;NEG;1;nomen;-1;-1
Entbehrung;NEG;0.5;nomen;-1;-0.5
übelnehmen;NEG;1;verben;-1;-1
Todesrate;NEG;1;nomen;-1;-1
angreifen;NEG;1;verben;-1;-1
Kleinmut;NEG;1;nomen;-1;-1
erweisen;POS;0.7;verben;1;0.7
quetschen;NEG;0.7;verben;-1;-0.7
drängeln;NEG;0.7;verben;-1;-0.7
verschlechtern;NEG;0.7;verben;-1;-0.7
Wesensverwandtschaft;POS;0.5;nomen;1;0.5
Frust;NEG;1;nomen;-1;-1
Indoktrination;NEG;0.7;nomen;-1;-0.7
vertrösten;NEG;0.5;verben;-1;-0.5
Ekel_erregend;NEG;1;adj;-1;-1
Ausnahmezustand;NEG;1;nomen;-1;-1
Staatsgewalt;POS;0.7;nomen;1;0.7
Geldgier;NEG;1;nomen;-1;-1
Undankbarkeit;NEG;0.7;nomen;-1;-0.7
Verlegenheit;NEG;0.7;nomen;-1;-0.7
Zähigkeit;POS;0.5;nomen;1;0.5
abbrummen;NEG;1;verben;-1;-1
beschönigen;NEG;1;verben;-1;-1
schlechtmachen;NEG;1;verben;-1;-1
Aufwartung;POS;0.7;nomen;1;0.7
Bewilligung;POS;0.5;nomen;1;0.5
Einfühlungsvermögen;POS;0.7;nomen;1;0.7
Abholzung;NEG;1;nomen;-1;-1
Religionskrieg;NEG;1;nomen;-1;-1
entwirren;POS;0.7;verben;1;0.7
Entkriminalisierung;POS;1;nomen;1;1
Vergeltung;NEG;1;nomen;-1;-1
Zuckerkrankheit;NEG;1;nomen;-1;-1
Dankbarkeit;POS;1;nomen;1;1
verelenden;NEG;1;verben;-1;-1
Reinhaltung;POS;0.7;nomen;1;0.7
Gesundung;POS;1;nomen;1;1
Dauerstreit;NEG;1;nomen;-1;-1
Emanzipation;POS;1;nomen;1;1
Verunsichern;NEG;0.7;nomen;-1;-0.7
akklimatisieren;POS;0.5;verben;1;0.5
Enttäuschung;NEG;1;nomen;-1;-1
mucken;NEG;1;verben;-1;-1
Kontaktschwierigkeiten;NEG;0.7;nomen;-1;-0.7
Ödheit;NEG;1;nomen;-1;-1
Hyperaktivität;NEG;1;nomen;-1;-1
einklemmen;NEG;0.7;verben;-1;-0.7
Beherrschen;NEG;0.7;nomen;-1;-0.7
Handelfmeter;NEG;0.7;nomen;-1;-0.7
erbeben;NEG;1;verben;-1;-1
Verzweiflungshandlung;NEG;1;nomen;-1;-1
schmachten;NEG;1;verben;-1;-1
Bedürftigkeit;NEG;1;nomen;-1;-1
Teilnahmslosigkeit;NEG;0.7;nomen;-1;-0.7
Schlüsselstellung;POS;0.7;nomen;1;0.7
hoffen;POS;1;verben;1;1
Bissigkeit;NEG;1;nomen;-1;-1
feuern;NEG;1;verben;-1;-1
motivieren;POS;1;verben;1;1
Währungsreform;POS;0.7;nomen;1;0.7
Perfektionierung;POS;1;nomen;1;1
Leibeigenschaft;NEG;1;nomen;-1;-1
Kinogenuß;POS;0.5;nomen;1;0.5
vorbeugen;POS;0.7;verben;1;0.7
Primitivität;NEG;1;nomen;-1;-1
Unglücksursache;NEG;1;nomen;-1;-1
Putsch;NEG;1;nomen;-1;-1
Fremdenhass;NEG;1;nomen;-1;-1
absegnen;POS;0.5;verben;1;0.5
Abriss;NEG;1;nomen;-1;-1
Massage;POS;0.5;nomen;1;0.5
vegetieren;NEG;1;verben;-1;-1
Lungendurchschuß;NEG;1;nomen;-1;-1
Widerspenstigkeit;NEG;0.7;nomen;-1;-0.7
Auflehnung;NEG;0.7;nomen;-1;-0.7
überschätzen;NEG;0.7;verben;-1;-0.7
Polyp;NEG;1;nomen;-1;-1
Frauenhass;NEG;1;nomen;-1;-1
abrechnen;NEG;1;verben;-1;-1
Kinderfeindlichkeit;NEG;1;nomen;-1;-1
anordnen;NEG;0.7;verben;-1;-0.7
Hepatitis;NEG;1;nomen;-1;-1
abbüßen;NEG;1;verben;-1;-1
Mißvergnügen;NEG;1;nomen;-1;-1
ausharren;NEG;0.5;verben;-1;-0.5
tiefbewegt;POS;1;adj;1;1
Menschenrecht;POS;1;nomen;1;1
steuern;POS;0.5;verben;1;0.5
hinterfragen;NEG;0.5;verben;-1;-0.5
Verhöhnung;NEG;1;nomen;-1;-1
meckern;NEG;0.7;verben;-1;-0.7
Purismus;POS;0.7;nomen;1;0.7
Gerechtigkeitssinn;POS;1;nomen;1;1
quengeln;NEG;0.7;verben;-1;-0.7
nerven;NEG;1;verben;-1;-1
feilhalten;POS;0.5;verben;1;0.5
zerschrammen;NEG;0.7;verben;-1;-0.7
Verantwortungsgefühl;POS;1;nomen;1;1
Rehabilitationsprogramm;POS;0.7;nomen;1;0.7
Gewogenheit;POS;1;nomen;1;1
Erwerbsunfähigkeit;NEG;0.7;nomen;-1;-0.7
Heraufsetzung;POS;0.7;nomen;1;0.7
bestehen;POS;0.7;verben;1;0.7
Respekt;POS;1;nomen;1;1
Koketterie;NEG;0.7;nomen;-1;-0.7
Eifersüchtelei;NEG;0.5;nomen;-1;-0.5
Goldschatz;POS;1;nomen;1;1
Affront;NEG;1;nomen;-1;-1
Hoffnungslosigkeit;NEG;1;nomen;-1;-1
Unabsichtlichkeit;POS;0.5;nomen;1;0.5
Sachbeschädigung;NEG;1;nomen;-1;-1
adeln;POS;0.7;verben;1;0.7
Gegensätzlichkeit;NEG;0.5;nomen;-1;-0.5
Raub;NEG;1;nomen;-1;-1
Schande;NEG;1;nomen;-1;-1
anflunkern;NEG;0.7;verben;-1;-0.7
Fehlhandlung;NEG;0.7;nomen;-1;-0.7
liebäugeln;POS;0.5;verben;1;0.5
Schwellung;NEG;0.7;nomen;-1;-0.7
Mißfallen;NEG;1;nomen;-1;-1
desavouieren;NEG;1;verben;-1;-1
Geschlossenheit;POS;0.5;nomen;1;0.5
Verantwortungslosigkeit;NEG;1;nomen;-1;-1
Freude;POS;1;nomen;1;1
krummnehmen;NEG;0.7;verben;-1;-0.7
